word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.004818290995899588,0.00796779099619016,1.0338581659889314,0.9976122080115601,,,,,,,,,,,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
BLUE,red,I,r,0,0,0,r,1,1.2575345000077505,None,0,0,0,2,1.0338581659889314,,,,,,1.0222336660081055,1.0338581659889314,1.4972472499939613,1.4972472499939613,1.4972472499939613,2.9632913329987787,r,1,1.2575345000077505,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
BLUE,blue,C,b,1,1,0,b,1,0.3956004159990698,None,0,1,1,3,2.975436582986731,,,,,,2.9635659159976058,2.975436582986731,3.4527560000133235,3.4527560000133235,3.4527560000133235,3.852143458003411,b,1,0.3956004159990698,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
RED,blue,I,b,2,2,0,b,1,0.5624193330004346,None,0,2,2,1,3.8691778749926016,,,,,,3.860799791000318,3.8691778749926016,4.360334500001045,4.360334500001045,4.360334500001045,4.932568249991164,b,1,0.5624193330004346,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
RED,red,C,r,3,3,0,r,1,0.37123320798855275,None,0,3,3,0,4.942011832987191,,,,,,4.9337241660105065,4.942011832987191,5.430538665998029,5.430538665998029,5.430538665998029,5.8158865830046125,r,1,0.37123320798855275,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
RED,red,C,r,4,0,1,r,1,0.41286516599939205,None,1,0,4,0,5.825172874989221,,,,,,5.816868666006485,5.825172874989221,6.313910875003785,6.313910875003785,6.313910875003785,6.732224458013661,r,1,0.41286516599939205,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
RED,blue,I,b,5,1,1,b,1,0.6081272079900373,None,1,1,5,1,6.741634750011144,,,,,,6.733324041008018,6.741634750011144,7.230641458008904,7.230641458008904,7.230641458008904,7.8490730409976095,b,1,0.6081272079900373,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.4022814999916591,None,1,2,6,3,7.862038291001227,,,,,,7.853911874990445,7.862038291001227,8.347336290986277,8.347336290986277,8.347336290986277,8.752950875001261,b,1,0.4022814999916591,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
BLUE,red,I,r,7,3,1,r,1,0.323770458024228,None,1,3,7,2,8.763402250013314,,,,,,8.753853915986838,8.763402250013314,9.25290349998977,9.25290349998977,9.25290349998977,9.582461332989624,r,1,0.323770458024228,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
RED,red,C,r,8,0,2,r,1,0.388970166008221,None,2,0,8,0,9.595304707996547,,,,,,9.587126791011542,9.595304707996547,10.080610415985575,10.080610415985575,10.080610415985575,10.482453875010833,r,1,0.388970166008221,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
RED,blue,I,b,9,1,2,b,1,0.453891498997109,None,2,1,9,1,10.4919062909903,,,,,,10.483572583005298,10.4919062909903,10.980640708003193,10.980640708003193,10.980640708003193,11.449384040985024,b,1,0.453891498997109,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
BLUE,red,I,r,10,2,2,r,1,0.40945212499354966,None,2,2,10,2,11.462155582994455,,,,,,11.453972624993185,11.462155582994455,11.947274000005564,11.947274000005564,11.947274000005564,12.365858458011644,r,1,0.40945212499354966,None,,,,55,001,2025-08-24_16h20.08.822,stroop task practice 2,,2025.1.1,None,2025-08-24 16h20.16.232448 +0530,
